,Domain,Valid,socialUrls,xmlNums,JsonNums,xmlFilename,jsonFilename
0,alotechgear.com,FALSE,[],0,0,,
1,alouette-innovations.com,FALSE,[],0,0,,
2,alorscapousse.com,TRUE,"['http://www.copyrightfrance.com/', 'https://twitter.com/alorscapousse', 'https://www.facebook.com/alorscapousse', 'https://www.pinterest.fr/alorscapousse/', 'https://www.instagram.com/alorscapousse/']",25,25,alorscapousse.com.xml.txt,alorscapousse.com.json.txt
3,aloro.ro,TRUE,"['http://www.anpc.gov.ro/', 'https://ec.europa.eu/consumers/odr/main/index.cfm?event=main.home.chooseLanguage', 'https://www.shopify.com?utm_campaign=poweredby&utm_medium=shopify&utm_source=onlinestore']",10,10,aloro.ro.xml.txt,aloro.ro.json.txt
4,alorstore.com,TRUE,"['https://www.facebook.com/pg/ALORBottles/shop/?ref=page_internal', 'https://www.instagram.com/alor_bottles/?hl=en', 'https://www.shopify.com?utm_campaign=poweredby&utm_medium=shopify&utm_source=onlinestore']",53,53,alorstore.com.xml.txt,alorstore.com.json.txt
5,aloyalsociety.com,TRUE,"['https://www.facebook.com/aloyalsociety', 'https://www.instagram.com/aloyalsociety', 'https://www.pinterest.com/aloyalsocietyteam', 'https://www.shopify.com?utm_campaign=poweredby&utm_medium=shopify&utm_source=onlinestore']",22,22,aloyalsociety.com.xml.txt,aloyalsociety.com.json.txt
6,alouate.com,TRUE,"['//pinterest.com/pin/create/button/?url=&media=http://cdn.shopify.com/s/assets/no-image-2048-5e88c1b20e087fb7bbe9a3771824e743c244f437e4f8ba93bbf7b11b53f7824c_1024x1024.gif&description=', 'https://twitter.com/Alouate_Shop', 'https://facebook.com/Alouate-342882589823056', 'https://www.pinterest.fr/alouateshopping/', 'https://instagram.com/alouate.shop', 'https://www.youtube.com/channel/UCk8fTEPIr1SxdDr58tlW-rg']",41,41,alouate.com.xml.txt,alouate.com.json.txt
7,alovitox.com,TRUE,"['https://www.facebook.com/alovitox', 'https://www.youtube.com/channel/UC2PQxBanQ3_y2JafGde1-8Q', 'https://www.pinterest.com/alovitox', 'https://instagram.com/alovitox', 'https://instagram.com/alovitox', 'https://www.facebook.com/alovitox', 'https://www.youtube.com/channel/UC2PQxBanQ3_y2JafGde1-8Q', 'https://www.pinterest.com/alovitox', 'https://instagram.com/alovitox', 'https://www.facebook.com/alovitox', 'https://www.youtube.com/channel/UC2PQxBanQ3_y2JafGde1-8Q', 'https://www.pinterest.com/alovitox', 'https://instagram.com/alovitox']",32,32,alovitox.com.xml.txt,alovitox.com.json.txt
8,alotsports.com,TRUE,"['https://twitter.com/alotsports', 'https://www.facebook.com/alotsports', 'https://instagram.com/alotsports', 'https://www.shopify.com?utm_campaign=poweredby&utm_medium=shopify&utm_source=onlinestore']",49,19,alotsports.com.xml.txt,alotsports.com.json.txt
9,alossjewellery.co.uk,TRUE,['https://www.shopify.com?utm_campaign=poweredby&utm_medium=shopify&utm_source=onlinestore'],98,98,alossjewellery.co.uk.xml.txt,alossjewellery.co.uk.json.txt
10,aloveofdishtowels.com,TRUE,"['http://instagram.com/A Love of Dish Towels', 'http://twitter.com/LoveTowels', 'https://www.facebook.com/aloveofdishtowels/', 'https://twitter.com/LoveTowels', 'https://www.pinterest.com/aloveofdishtowe/pins/', 'http://pixelunion.net', 'https://www.shopify.com?utm_campaign=poweredby&utm_medium=shopify&utm_source=onlinestore']",156,156,aloveofdishtowels.com.xml.txt,aloveofdishtowels.com.json.txt
11,alotmall.com,TRUE,"['https://alotmall.aftership.com', 'https://alotmall.aftership.com', 'https://facebook.com/ALotMallForYou', 'https://pinterest.com/ALotMallForYou', 'https://instagram.com/ALotMallForYou']",245,185,alotmall.com.xml.txt,alotmall.com.json.txt
12,alot.com.tw,TRUE,"['https://alot.youcanbook.me/', 'https://alot.youcanbook.me/', 'https://alot.youcanbook.me/', 'https://alot.youcanbook.me/', 'https://g.page/alot-living-taiwan?share', 'https://www.facebook.com/alotlivingtw', 'https://www.instagram.com/alot.living.tw/']",384,384,alot.com.tw.xml.txt,alot.com.tw.json.txt
13,aloyd.com,TRUE,"['https://www.instagram.com/fitnessexperience/?hl=en', 'https://commercial.fitnessexperience.ca/', 'https://www.facebook.com/fitexpwpg/', 'https://twitter.com/fitnessexpwpg', 'https://www.instagram.com/fitnessexperience/']",772,772,aloyd.com.xml.txt,aloyd.com.json.txt
14,alottastyle.com,TRUE,"['//instagram.com/https://www.instagram.com/designsyou.love/?hl=en', 'https://designsyoulove.co.uk', 'https://designsyoulove.co.uk/collections/wall-art', '//instagram.com/https://www.instagram.com/designsyou.love/?hl=en', '//instagram.com/https://www.instagram.com/designsyou.love/?hl=en']",826,796,alottastyle.com.xml.txt,alottastyle.com.json.txt
